domain,motif,property,property_short,n_present,n_absent,present_median_abs_log_error,absent_median_abs_log_error,delta_median_abs_log_error
cat,phosphonium,ElectricalConductivity,EC,66,657,0.09770039067263497,0.061707637645124214,0.03599275302751076
cat,phosphonium,HeatCapacity,HC,39,1444,0.009539727101969042,0.005109984711561211,0.0044297423904078315
cat,phosphonium,SurfaceTension,ST,44,736,0.0267177805307095,0.009964579547428132,0.01675320098328137
cat,phosphonium,ThermalConductivity,TC,24,99,0.003139534754741824,0.008129885590490327,-0.004990350835748503
cat,hydroxyl/ether O,Density,Density,556,2081,0.0017836054389106515,0.0028257930402730835,-0.001042187601362432
cat,hydroxyl/ether O,Viscosity,Visc.,155,1615,0.059489803896280335,0.05535382743092722,0.004135976465353117
cat,hydroxyl/ether O,ElectricalConductivity,EC,29,694,0.06286203649397837,0.06410600568418824,-0.0012439691902098732
cat,hydroxyl/ether O,HeatCapacity,HC,101,1382,0.005474645965121816,0.0052488004161586055,0.00022584554896321052
cat,hydroxyl/ether O,SurfaceTension,ST,87,693,0.009514857254074194,0.010457231422150493,-0.0009423741680762987
cat,hydroxyl/ether O,ThermalConductivity,TC,1,122,,,
cat,nitrile,Density,Density,108,2529,0.003805645939821467,0.0025066767674690738,0.0012989691723523933
cat,nitrile,Viscosity,Visc.,96,1674,0.08356023353604458,0.05435730961731289,0.029202923918731694
cat,nitrile,ElectricalConductivity,EC,15,708,,,
cat,nitrile,HeatCapacity,HC,4,1479,,,
cat,nitrile,SurfaceTension,ST,4,776,,,
cat,nitrile,ThermalConductivity,TC,0,123,,,
cat,aromatic cation,Density,Density,1825,812,0.0027256440396890014,0.0022013447353943505,0.0005242993042946509
cat,aromatic cation,Viscosity,Visc.,1411,359,0.05432599507492286,0.05948468715747213,-0.0051586920825492655
cat,aromatic cation,ElectricalConductivity,EC,589,134,0.05932280475709001,0.09279276673088066,-0.03346996197379065
cat,aromatic cation,HeatCapacity,HC,1369,114,0.005086523770553519,0.006891255871478652,-0.0018047321009251327
cat,aromatic cation,SurfaceTension,ST,695,85,0.010037140646102838,0.01358051559696083,-0.0035433749508579915
cat,aromatic cation,ThermalConductivity,TC,92,31,0.008477958465364144,0.0036217477483408977,0.004856210717023246
cat,long alkyl,Density,Density,1441,1196,0.0028804581731627366,0.0021472432648730333,0.0007332149082897033
cat,long alkyl,Viscosity,Visc.,1066,704,0.05365252745520266,0.06105794339575879,-0.0074054159405561315
cat,long alkyl,ElectricalConductivity,EC,452,271,0.066823766347621,0.06128032984139775,0.005543436506223243
cat,long alkyl,HeatCapacity,HC,1077,406,0.004509880532021171,0.008452444011668891,-0.0039425634796477205
cat,long alkyl,SurfaceTension,ST,498,282,0.010444811909986695,0.010315939383374495,0.0001288725266122004
cat,long alkyl,ThermalConductivity,TC,99,24,0.005456413238534186,0.015088108037876413,-0.009631694799342227
ani,NTf2/FSI,Density,Density,793,1844,0.0026737134996990264,0.002510730655593818,0.00016298284410520836
ani,NTf2/FSI,Viscosity,Visc.,503,1267,0.04589229110490223,0.06186787400906102,-0.01597558290415879
ani,NTf2/FSI,ElectricalConductivity,EC,234,489,0.06374043294444362,0.06426334910296028,-0.0005229161585166564
ani,NTf2/FSI,HeatCapacity,HC,486,997,0.006387481567027731,0.004620638040664815,0.0017668435263629156
ani,NTf2/FSI,SurfaceTension,ST,205,575,0.013576633695435714,0.009514857254074194,0.00406177644136152
ani,NTf2/FSI,ThermalConductivity,TC,18,105,,,
ani,BF4,Density,Density,0,2637,,,
ani,BF4,Viscosity,Visc.,0,1770,,,
ani,BF4,ElectricalConductivity,EC,0,723,,,
ani,BF4,HeatCapacity,HC,0,1483,,,
ani,BF4,SurfaceTension,ST,0,780,,,
ani,BF4,ThermalConductivity,TC,0,123,,,
ani,PF6,Density,Density,0,2637,,,
ani,PF6,Viscosity,Visc.,0,1770,,,
ani,PF6,ElectricalConductivity,EC,0,723,,,
ani,PF6,HeatCapacity,HC,0,1483,,,
ani,PF6,SurfaceTension,ST,0,780,,,
ani,PF6,ThermalConductivity,TC,0,123,,,
ani,halide,Density,Density,146,2491,0.0028820290225830547,0.0025467320383523173,0.0003352969842307374
ani,halide,Viscosity,Visc.,73,1697,0.10536272370264832,0.05494074616927613,0.050421977533372186
ani,halide,ElectricalConductivity,EC,35,688,0.07580884555952283,0.06293432496273879,0.01287452059678404
ani,halide,HeatCapacity,HC,114,1369,0.004539668306475342,0.0053233952650302285,-0.0007837269585548867
ani,halide,SurfaceTension,ST,101,679,0.011590811013852953,0.010100629019637264,0.001490181994215689
ani,halide,ThermalConductivity,TC,6,117,,,
ani,fluorinated,Density,Density,1261,1376,0.002603929431558072,0.002535381979503981,6.854745205409074e-05
ani,fluorinated,Viscosity,Visc.,913,857,0.04779645618926086,0.06659998950140222,-0.018803533312141366
ani,fluorinated,ElectricalConductivity,EC,471,252,0.058250170597773376,0.0812539953195629,-0.023003824721789523
ani,fluorinated,HeatCapacity,HC,1008,475,0.0047442972330666855,0.005985670766155415,-0.0012413735330887299
ani,fluorinated,SurfaceTension,ST,432,348,0.009814035230059526,0.011093542965049608,-0.0012795077349900819
ani,fluorinated,ThermalConductivity,TC,51,72,0.008076298723652675,0.006660019832524844,0.0014162788911278312
ani,sulfonyl,Density,Density,1047,1590,0.0026854075280970946,0.002485474915457697,0.00019993261263939743
ani,sulfonyl,Viscosity,Visc.,632,1138,0.04914690723167281,0.062032240290630924,-0.012885333058958115
ani,sulfonyl,ElectricalConductivity,EC,280,443,0.06235603852725635,0.06556202886994122,-0.0032059903426848724
ani,sulfonyl,HeatCapacity,HC,597,886,0.0071262853008100535,0.004375771826787833,0.0027505134740222204
ani,sulfonyl,SurfaceTension,ST,233,547,0.012062330481619199,0.009614479439989942,0.0024478510416292565
ani,sulfonyl,ThermalConductivity,TC,41,82,0.012538710677004072,0.005187873559559852,0.00735083711744422
ani,carboxylate,Density,Density,388,2249,0.0020420888088286127,0.0026779409924371222,-0.0006358521836085096
ani,carboxylate,Viscosity,Visc.,172,1598,0.07194682887792847,0.05353704518252056,0.01840978369540791
ani,carboxylate,ElectricalConductivity,EC,58,665,0.08282492921523299,0.06235514758575267,0.02046978162948032
ani,carboxylate,HeatCapacity,HC,85,1398,0.006867946811203396,0.005085007018636123,0.001782939792567273
ani,carboxylate,SurfaceTension,ST,79,701,0.008015834233390695,0.010567428077643548,-0.002551593844252853
ani,carboxylate,ThermalConductivity,TC,22,101,0.003526800271808961,0.008243124312214745,-0.004716324040405784
ani,nitrile,Density,Density,238,2399,0.00249155803838752,0.0025810320234151973,-8.947398502767712e-05
ani,nitrile,Viscosity,Visc.,283,1487,0.05781615373785254,0.05518238225325245,0.0026337714846000893
ani,nitrile,ElectricalConductivity,EC,70,653,0.0938023195577824,0.06259308459512836,0.031209234962654042
ani,nitrile,HeatCapacity,HC,82,1401,0.006048162468196949,0.00513456055429895,0.0009136019138979989
ani,nitrile,SurfaceTension,ST,93,687,0.01470623110699476,0.009774500501791739,0.004931730605203022
ani,nitrile,ThermalConductivity,TC,18,105,,,
ani,phosphate,Density,Density,39,2598,0.0029215317636737126,0.0025573039400486053,0.0003642278236251073
ani,phosphate,Viscosity,Visc.,32,1738,0.08077788856596044,0.055390213183071975,0.025387675382888462
ani,phosphate,ElectricalConductivity,EC,0,723,,,
ani,phosphate,HeatCapacity,HC,8,1475,,,
ani,phosphate,SurfaceTension,ST,9,771,,,
ani,phosphate,ThermalConductivity,TC,2,121,,,
ani,amino acid,Density,Density,75,2562,0.0046329793429338295,0.0025205487995823006,0.002112430543351529
ani,amino acid,Viscosity,Visc.,57,1713,0.09222981483757486,0.05510714140643547,0.0371226734311394
ani,amino acid,ElectricalConductivity,EC,12,711,,,
ani,amino acid,HeatCapacity,HC,33,1450,0.016239997505687498,0.005095055956257699,0.011144941549429799
ani,amino acid,SurfaceTension,ST,47,733,0.006126688765912824,0.010567428077643548,-0.004440739311730724
ani,amino acid,ThermalConductivity,TC,13,110,,,
pair,aromatic + sulfonyl,Density,Density,740,1897,0.002614319003249488,0.002563092535946332,5.122646730315594e-05
pair,aromatic + sulfonyl,Viscosity,Visc.,489,1281,0.045070532074540814,0.06067321617867322,-0.015602684104132403
pair,aromatic + sulfonyl,ElectricalConductivity,EC,235,488,0.061176035225009695,0.066486502352057,-0.0053104671270473025
pair,aromatic + sulfonyl,HeatCapacity,HC,560,923,0.007467111170751828,0.004415921467010087,0.0030511897037417413
pair,aromatic + sulfonyl,SurfaceTension,ST,183,597,0.013280640947987976,0.009718519700476325,0.0035621212475116515
pair,aromatic + sulfonyl,ThermalConductivity,TC,35,88,0.01322077542633937,0.005252829107923795,0.007967946318415575
pair,aromatic + fluorinated,Density,Density,955,1682,0.0024633892168832716,0.0026268174431933744,-0.0001634282263101028
pair,aromatic + fluorinated,Viscosity,Visc.,757,1013,0.04501423009422956,0.06466005558811039,-0.01964582549388083
pair,aromatic + fluorinated,ElectricalConductivity,EC,391,332,0.05612542941203702,0.07971959311054722,-0.023594163698510195
pair,aromatic + fluorinated,HeatCapacity,HC,975,508,0.004767392043011576,0.005910667283755888,-0.0011432752407443125
pair,aromatic + fluorinated,SurfaceTension,ST,385,395,0.009774500501791739,0.01106962112126153,-0.0012951206194697917
pair,aromatic + fluorinated,ThermalConductivity,TC,48,75,0.007280327650269425,0.006843636623032223,0.00043669102723720155
pair,imidazolium + NTf2/FSI,Density,Density,510,2127,0.002590885648284136,0.0025650392582345916,2.5846390049544254e-05
pair,imidazolium + NTf2/FSI,Viscosity,Visc.,371,1399,0.04092408772936729,0.06067321617867322,-0.01974912844930593
pair,imidazolium + NTf2/FSI,ElectricalConductivity,EC,180,543,0.061441836435066954,0.0660677806550165,-0.0046259442199495515
pair,imidazolium + NTf2/FSI,HeatCapacity,HC,459,1024,0.006795562807247357,0.0045991860069154455,0.0021963768003319117
pair,imidazolium + NTf2/FSI,SurfaceTension,ST,157,623,0.013794259136834963,0.00956723132734405,0.004227027809490913
pair,imidazolium + NTf2/FSI,ThermalConductivity,TC,16,107,,,
pair,phosphonium + fluorinated,Density,Density,50,2587,0.0018062849216242682,0.0025806022067733636,-0.0007743172851490954
pair,phosphonium + fluorinated,Viscosity,Visc.,32,1738,0.054465195918782516,0.05559152796799993,-0.0011263320492174156
pair,phosphonium + fluorinated,ElectricalConductivity,EC,37,686,0.09585895203504824,0.0628889034499844,0.03297004858506383
pair,phosphonium + fluorinated,HeatCapacity,HC,10,1473,,,
pair,phosphonium + fluorinated,SurfaceTension,ST,18,762,,,
pair,phosphonium + fluorinated,ThermalConductivity,TC,2,121,,,
pair,quaternary N + halide,Density,Density,128,2509,0.00275647078606589,0.0025620106040982193,0.00019446018196767056
pair,quaternary N + halide,Viscosity,Visc.,65,1705,0.12185366182639656,0.054680109224100715,0.06717355260229585
pair,quaternary N + halide,ElectricalConductivity,EC,33,690,0.0707592049719632,0.06324254157147909,0.007516663400484111
pair,quaternary N + halide,HeatCapacity,HC,110,1373,0.004481564172447161,0.005339609978938675,-0.0008580458064915142
pair,quaternary N + halide,SurfaceTension,ST,84,696,0.010783246505908783,0.010278870083181069,0.0005043764227277148
pair,quaternary N + halide,ThermalConductivity,TC,4,119,,,
pair,protic N-H + carboxylate,Density,Density,209,2428,0.0013762083442401263,0.00273935967354344,-0.0013631513293033137
pair,protic N-H + carboxylate,Viscosity,Visc.,30,1740,0.10990431573615012,0.05516700559401544,0.054737310142134676
pair,protic N-H + carboxylate,ElectricalConductivity,EC,7,716,,,
pair,protic N-H + carboxylate,HeatCapacity,HC,18,1465,,,
pair,protic N-H + carboxylate,SurfaceTension,ST,3,777,,,
pair,protic N-H + carboxylate,ThermalConductivity,TC,1,122,,,
pair,oxygenated cation + sulfonyl,Density,Density,224,2413,0.002483860851604902,0.002578328458354484,-9.446760674958199e-05
pair,oxygenated cation + sulfonyl,Viscosity,Visc.,80,1690,0.05111126624741036,0.05582788378850578,-0.004716617541095425
pair,oxygenated cation + sulfonyl,ElectricalConductivity,EC,20,703,0.04369340284559492,0.06495577952932585,-0.021262376683730932
pair,oxygenated cation + sulfonyl,HeatCapacity,HC,67,1416,0.005474645965121816,0.0052488004161586055,0.00022584554896321052
pair,oxygenated cation + sulfonyl,SurfaceTension,ST,35,745,0.013794259136834963,0.010256572255870289,0.0035376868809646744
pair,oxygenated cation + sulfonyl,ThermalConductivity,TC,0,123,,,
pair,long alkyl + fluorinated,Density,Density,787,1850,0.002612734224922697,0.0025351339125481154,7.760031237458165e-05
pair,long alkyl + fluorinated,Viscosity,Visc.,643,1127,0.046875661378349864,0.06258458584554205,-0.015708924467192187
pair,long alkyl + fluorinated,ElectricalConductivity,EC,319,404,0.059584039913968545,0.069059210062562,-0.009475170148593448
pair,long alkyl + fluorinated,HeatCapacity,HC,836,647,0.003861922023298714,0.00695854312294486,-0.0030966210996461463
pair,long alkyl + fluorinated,SurfaceTension,ST,271,509,0.008827235342561579,0.011192028325074599,-0.00236479298251302
pair,long alkyl + fluorinated,ThermalConductivity,TC,45,78,0.009100734620897777,0.0064803798094518195,0.0026203548114459574
pair,long alkyl + nitrile,Density,Density,144,2493,0.00249155803838752,0.0025810320234151973,-8.947398502767712e-05
pair,long alkyl + nitrile,Viscosity,Visc.,109,1661,0.05581629408782707,0.05547920376489657,0.0003370903229305
pair,long alkyl + nitrile,ElectricalConductivity,EC,56,667,0.0831443516648105,0.06286203649397837,0.020282315170832135
pair,long alkyl + nitrile,HeatCapacity,HC,46,1437,0.005007835498981539,0.005278128741928789,-0.00027029324294725043
pair,long alkyl + nitrile,SurfaceTension,ST,57,723,0.01751281295117657,0.009958739699331254,0.007554073251845317
pair,long alkyl + nitrile,ThermalConductivity,TC,14,109,,,
