source_data_file,column,description,unit_or_scale
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,feature,Machine-readable structural descriptor name.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,feature_cluster,Feature cluster.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,structural_scope,"Cation, anion, or ion-pair scope of the descriptor.",not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,selection_rank,Selection rank.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,partial_r,Condition-adjusted experimental partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,fdr_q,False-discovery-rate-adjusted q value.,dimensionless
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,selection_stability,Bootstrap selection frequency.,fraction
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,main_figure_eligible,Main figure eligible.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,quantile_bin,Ordinal descriptor bin.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,quantile_label,Display label of the descriptor bin.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,sample_count,Number of identity-level observations in the bin.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,n_unique_ils,Number of unique ionic-liquid identities.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,feature_bin_median,Median descriptor value in the bin.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,response_log_mean,Mean condition-adjusted response on the natural-log scale.,natural-log response
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,bootstrap_ci_low,Lower bound of the stated bootstrap confidence interval.,same scale as associated statistic
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,bootstrap_ci_high,Upper bound of the stated bootstrap confidence interval.,same scale as associated statistic
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,uncertainty_definition,Uncertainty definition.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,monotonic_bin_spearman,Monotonic bin spearman.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,turning_point_count,Turning point count.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,nonlinearity_flag,Nonlinearity flag.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,response_shape_support,Response shape support.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,confidence_level,Audited evidence level used in the figure.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,line_alpha,Plotting opacity used for the evidence level.,fraction
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,full_feature_label,Complete display label used for the descriptor.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,exploratory,Whether the result is explicitly marked exploratory.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,property,Thermophysical property represented by the row.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,substitution_pair_id,Stable identifier for one unordered ion-substitution pair.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,fixed_role,Whether the cation or anion is held fixed.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,fixed_ion_smiles,SMILES of the ion held fixed.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,left_changed_ion_smiles,SMILES of the first substituted ion.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,right_changed_ion_smiles,SMILES of the second substituted ion.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,n_condition_matches,Number of matched experimental conditions.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,observed_log_delta,Signed observed property difference on the natural-log scale.,natural-log response
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,observed_abs_log_difference,Absolute observed log-property difference.,natural-log response
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,predicted_log_delta,Signed model-predicted property difference on the natural-log scale.,natural-log response
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,predicted_abs_log_difference,Absolute model-predicted log-property difference.,natural-log response
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,analysis_unit,Analysis unit.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,substitution_scope,Substitution scope.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,exploratory,Whether the result is explicitly marked exploratory.,not applicable / categorical
figure_si_heat_capacity_size_control_source_data.csv,il_identity_key,Charge-aware ionic-liquid identity key.,not applicable / categorical
figure_si_heat_capacity_size_control_source_data.csv,molar_mass_g_mol,Ion-pair molar mass.,g mol^-1
figure_si_heat_capacity_size_control_source_data.csv,condition_adjusted_response,Condition-adjusted identity-level response.,natural-log response
figure_si_heat_capacity_size_control_source_data.csv,analysis_panel,Supplementary panel membership.,not applicable / categorical
