old_canonical_pair_key,il_smiles,chemical_identity_key,identity_status,matched_benchmark_IL_names,identity_error
CCCC[n+]1ccn(C)c1||CCCCCCCC(=O)[O-],CCCC[n+]1ccn(C)c1.CCCCCCCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||WWZKQHOCKIZLMA-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCC[n+]1ccn(C)c1||C[C@@H](O)[C@H](N)C(=O)[O-],CCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,genuinely_unseen_identity,,
CC[n+]1ccn(C)c1||O=S(=O)([O-])O,C(C)[N+]1=CN(C=C1)C.O=S(=O)([O-])O,NJMWOUFKYKNWDW-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium hydrogensulfate,
CC[n+]1ccn(C)c1||FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,
CC[n+]1ccn(C)c1||O=C[O-],C(C)[N+]1=CN(C=C1)C.O=C[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,genuinely_unseen_identity,,
CC[n+]1ccn(C)c1||COS(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C.COS(=O)(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium methylsulfate,
CC[n+]1ccn(C)c1||O=[N+]([O-])c1cn[n-]c1,C(C)[N+]1=CN(C=C1)C.O=[N+]([O-])c1cn[n-]c1,NJMWOUFKYKNWDW-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,genuinely_unseen_identity,,
CC[n+]1ccn(C)c1||CCCC(=O)[O-],C(C)[N+]1=CN(C=C1)C.CCCC(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,genuinely_unseen_identity,,
CC[n+]1ccn(C)c1||CCC(=O)[O-],C(C)[N+]1=CN(C=C1)C.CCC(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,genuinely_unseen_identity,,
CC[n+]1ccn(C)c1||CCCCCC(=O)[O-],C(C)[N+]1=CN(C=C1)C.CCCCCC(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||FUZZWVXGSFPDMH-UHFFFAOYSA-M,genuinely_unseen_identity,,
CC[n+]1ccn(C)c1||CCCCCCCC(=O)[O-],C(C)[N+]1=CN(C=C1)C.CCCCCCCC(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||WWZKQHOCKIZLMA-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCn1cc[n+](C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C(CCC)N1C=[N+](C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
CCCCn1cc[n+](C)c1||F[B-](F)(F)F,C(CCC)N1C=[N+](C=C1)C.F[B-](F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium tetrafluoroborate,
CCCCn1cc[n+](C)c1||[Br-],C(CCC)N1C=[N+](C=C1)C.[Br-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium bromide,
CCCCn1cc[n+](C)c1||O=S(=O)([O-])C(F)(F)F,C(CCC)N1C=[N+](C=C1)C.O=S(=O)([O-])C(F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium trifluoromethanesulfonate,
CCCCn1cc[n+](C)c1||[Cl-],C(CCC)N1C=[N+](C=C1)C.[Cl-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium chloride,
CCCCn1cc[n+](C)c1||N#C[N-]C#N,C(CCC)N1C=[N+](C=C1)C.N#C[N-]C#N,IQQRAVYLUAZUGX-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium dicyanamide,
CCCCn1cc[n+](C)c1||CC(=O)[O-],C(CCC)N1C=[N+](C=C1)C.CC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium acetate,
CCCCn1cc[n+](C)c1||F[P-](F)(F)(F)(F)F,C(CCC)N1C=[N+](C=C1)C.F[P-](F)(F)(F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium hexafluorophosphate,
CCCCn1cc[n+](C)c1||N#C[S-],C(CCC)N1C=[N+](C=C1)C.N#C[S-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium thiocyanate,
CCCCn1cc[n+](C)c1||O=C([O-])C(F)(F)F,C(CCC)N1C=[N+](C=C1)C.O=C([O-])C(F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium trifluoroacetate,
CCCCn1cc[n+](C)c1||O=[N+]([O-])[O-],C(CCC)N1C=[N+](C=C1)C.O=[N+]([O-])[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium nitrate,
CCCCn1cc[n+](C)c1||CS(=O)(=O)[O-],C(CCC)N1C=[N+](C=C1)C.CS(=O)(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium methanesulfonate,
CCCCn1cc[n+](C)c1||O=[N+]([O-])c1cn[n-]c1,C(CCC)N1C=[N+](C=C1)C.O=[N+]([O-])c1cn[n-]c1,IQQRAVYLUAZUGX-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCCn1cc[n+](C)c1||N#C[C-](C#N)C#N,C(CCC)N1C=[N+](C=C1)C.N#C[C-](C#N)C#N,IQQRAVYLUAZUGX-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium tricyanomethane,
CCCCn1cc[n+](C)c1||N#C[B-](C#N)(C#N)C#N,C(CCC)N1C=[N+](C=C1)C.N#C[B-](C#N)(C#N)C#N,IQQRAVYLUAZUGX-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methyl-1H-imidazolium tetracyanoborate,
CCCCn1cc[n+](C)c1||NCC(=O)[O-],C(CCC)N1C=[N+](C=C1)C.NCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium glycinate,
CCCCn1cc[n+](C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCC)N1C=[N+](C=C1)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,
CCCCn1cc[n+](C)c1||CC(O)C(=O)[O-],C(CCC)N1C=[N+](C=C1)C.CC(O)C(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||JVTAAEKCZFNVCJ-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium lactate,
CCCCn1cc[n+](C)c1||CCCCCC(=O)[O-],C(CCC)N1C=[N+](C=C1)C.CCCCCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||FUZZWVXGSFPDMH-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCn1cc[n+](C)c1||CCCCCCCC(=O)[O-],C(CCC)N1C=[N+](C=C1)C.CCCCCCCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||WWZKQHOCKIZLMA-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCn1cc[n+](C)c1||C[C@@H](O)[C@H](N)C(=O)[O-],C(CCC)N1C=[N+](C=C1)C.C[C@@H](O)[C@H](N)C(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||N#C[S-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[S-],PYVOHVLEZJMINC-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=C([O-])C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=C([O-])C(F)(F)F,PYVOHVLEZJMINC-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)(F)[N-]S(=O)(=O)F,PYVOHVLEZJMINC-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=S(=O)([O-])O,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([O-])O,PYVOHVLEZJMINC-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=C[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=C[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=[N+]([O-])[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||COS(=O)(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COS(=O)(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CCOS(=O)(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C)OS(=O)(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||N#C[C-](C#N)C#N,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[C-](C#N)C#N,PYVOHVLEZJMINC-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||C[C@H](N)C(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||NCC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,PYVOHVLEZJMINC-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CC(O)C(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(O)C(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||JVTAAEKCZFNVCJ-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CCC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCC(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||C[C@@H](O)[C@H](N)C(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@@H](O)[C@H](N)C(=O)[O-],PYVOHVLEZJMINC-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||CC(=O)[O-],CCCCCC[n+]1ccn(C)c1.CC(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,pseudo_unseen_known_identity,3-hexyl-1-methylimidazolium acetate,
CCCCCC[n+]1ccn(C)c1||O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||O=S(=O)([O-])O,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-hexyl-3-methylimidazolium hydrogensulfate,
CCCCCC[n+]1ccn(C)c1||FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,
CCCCCC[n+]1ccn(C)c1||O=C[O-],CCCCCC[n+]1ccn(C)c1.O=C[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||COS(=O)(=O)[O-],CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-hexyl-3-methylimidazolium methylsulfate,
CCCCCC[n+]1ccn(C)c1||CCOS(=O)(=O)[O-],CCCCCC[n+]1ccn(C)c1.C(C)OS(=O)(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-hexyl-3-methylimidazolium ethylsulfate,
CCCCCC[n+]1ccn(C)c1||CS(=O)(=O)[O-],CCCCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||N#C[C-](C#N)C#N,CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,pseudo_unseen_known_identity,3-hexyl-1-methylimidazolium tricyanomethanide,
CCCCCC[n+]1ccn(C)c1||CCCC(=O)[O-],CCCCCC[n+]1ccn(C)c1.CCCC(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||C[C@H](N)C(=O)[O-],CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||NCC(=O)[O-],CCCCCC[n+]1ccn(C)c1.NCC(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||CCCCCC(=O)[O-],CCCCCC[n+]1ccn(C)c1.CCCCCC(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||FUZZWVXGSFPDMH-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCCCCC[n+]1ccn(C)c1||CCCCCCCC(=O)[O-],CCCCCC[n+]1ccn(C)c1.CCCCCCCC(=O)[O-],RVEJOWGVUQQIIZ-UHFFFAOYSA-N||WWZKQHOCKIZLMA-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCn1cc[n+](C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C(C)N1C=[N+](C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
CCn1cc[n+](C)c1||F[B-](F)(F)F,C(C)N1C=[N+](C=C1)C.F[B-](F)(F)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium tetrafluoroborate,
CCn1cc[n+](C)c1||[Br-],C(C)N1C=[N+](C=C1)C.[Br-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium bromide,
CCn1cc[n+](C)c1||O=S(=O)([O-])C(F)(F)F,C(C)N1C=[N+](C=C1)C.O=S(=O)([O-])C(F)(F)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,
CCn1cc[n+](C)c1||[Cl-],C(C)N1C=[N+](C=C1)C.[Cl-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium chloride,
CCn1cc[n+](C)c1||N#C[N-]C#N,C(C)N1C=[N+](C=C1)C.N#C[N-]C#N,NJMWOUFKYKNWDW-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium dicyanamide,
CCn1cc[n+](C)c1||CC(=O)[O-],C(C)N1C=[N+](C=C1)C.CC(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium acetate,
CCn1cc[n+](C)c1||F[P-](F)(F)(F)(F)F,C(C)N1C=[N+](C=C1)C.F[P-](F)(F)(F)(F)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium hexafluorophosphate,
CCn1cc[n+](C)c1||N#C[S-],C(C)N1C=[N+](C=C1)C.N#C[S-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium thiocyanate,
CCn1cc[n+](C)c1||O=C([O-])C(F)(F)F,C(C)N1C=[N+](C=C1)C.O=C([O-])C(F)(F)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium trifluoroacetate,
CCn1cc[n+](C)c1||O=S(=O)(F)[N-]S(=O)(=O)F,C(C)N1C=[N+](C=C1)C.O=S(=O)(F)[N-]S(=O)(=O)F,NJMWOUFKYKNWDW-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,
CCn1cc[n+](C)c1||O=C[O-],C(C)N1C=[N+](C=C1)C.O=C[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,genuinely_unseen_identity,,
CCn1cc[n+](C)c1||O=[N+]([O-])[O-],C(C)N1C=[N+](C=C1)C.O=[N+]([O-])[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium nitrate,
CCn1cc[n+](C)c1||CS(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C.CS(=O)(=O)[O-],NJMWOUFKYKNWDW-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-ethyl-3-methylimidazolium methanesulfonate,
